"year","month","temperature","TSA","ENSO","NAO","TNA"
1982,1,25.9380676328317,0.03,0.13,-1.55,0.19
1982,10,27.525936430186,-0.11,1.99,-0.29,-0.34
1982,11,27.586091536449,-0.28,1.92,1.55,-0.46
1982,12,27.0960216124555,-0.17,2.2,1.56,-0.5
1982,2,25.8612923493721,-0.2,-0.17,0.86,-0.07
1982,3,26.2120317894454,-0.21,0.13,0.8,-0.07
1982,4,26.2263411334344,-0.35,0.21,-0.04,-0.16
1982,5,26.3167590246111,-0.37,0.45,-0.44,-0.03
1982,6,26.4379412515475,-0.45,0.53,-1.34,-0.15
1982,7,26.2284160043436,-0.44,0.37,1.18,-0.27
1982,8,26.661893457465,-0.57,0.73,0.21,-0.3
1982,9,27.252241361072,-0.31,1.49,1.86,-0.28
1983,1,27.1510594745865,0.33,2.35,1.34,-0.36
1983,10,27.3255841788052,-0.08,-1.16,1.22,-0.15
1983,11,27.414595370593,0.06,-1.29,-1.16,0.05
1983,12,26.6335171438721,0.39,-1.03,0.18,0.23
1983,2,26.8557921995711,0.37,1.94,-1.04,-0.02
1983,3,27.2003598437761,-0.14,1.38,0.59,0.44
1983,4,26.917501449934,-0.25,0.95,-1.07,0.45
1983,5,27.3053337039951,-0.45,0.9,-0.01,0.17
1983,6,26.704559356718,-0.45,0.54,1.31,0.35
1983,7,26.8554908773194,-0.31,-0.11,1.22,0.23
1983,8,26.7347514674137,-0.08,-0.27,1.95,0.01
1983,9,27.3702073952316,0.04,-0.52,-0.95,-0.18
